Frequency (Hz),Timeshift (micros),,C,L (mH),R (Ohm),Ampl (V)
55.00,4260,,2.14 microF,4.3,109.5,0.43
71.00,3320,,,,,
92.00,2500,,,,,
127.00,1720,,,,,
193.00,1080,,,,,
294.00,609,,,,,
448.00,328,,,,,
683.00,153,,,,,
1040.00,49,,,,,
1585.00,2,,,,,
1659.00,0,,,,,
1800.00,-6,,,,,
2415.00,-20.3,,,,,
3679.00,-26,,,,,
5606.00,-25,,,,,
8541.00,-20.3,,,,,
13013.00,-15.1,,,,,
19826.00,-10.7,,,,,
30206.00,-7.31,,,,,
46020.00,-4.76,,,,,
70115.00,-3.04,,,,,
106825.00,-1.94,,,,,
162755.00,-1.36,,,,,